Time (sec),Watt
1,145.85
2,145.05
3,145.07
4,145.6
5,148.94
6,149.05
7,148.83
8,147.56
9,146.77
10,148.33
11,148.49
12,148.28
13,147.85
14,149.31
15,147.01
16,147.42
17,151.4
18,145.33
19,146.71
20,146.89
21,147.51
22,147.26
23,147.28
24,149.86
25,147.98
26,145.72
27,146.79
28,149.07
29,148.62
30,147.92
31,144.13
32,146.41
33,146.9
34,147.96
35,147.43
36,143.75
37,149.42
38,146.51
39,147.23
40,147.32
41,146.48
42,147.2
43,146.42
44,146.83
45,145.89
46,139.96
47,144.2
48,148.31
49,146.75
50,147.53
51,147.39
52,145.2
53,144.76
54,148.97
55,150.03
56,149.71
57,143.4
58,147.18
59,150.8
60,149.23
